section_id,road_type,month,road_age,traffic,rainfall,road_condition,damage_level,repair_event,repair_quality,repair_count,months_since_repair,previous_condition
S001,Main Road,1,13,10390,21.14,83.81,16.19,0,0.0,0,11,87.49
S001,Main Road,2,13,10390,28.31,80.12,19.88,0,0.0,0,12,83.81
S001,Main Road,3,13,10390,23.33,76.54,23.46,0,0.0,0,13,80.12
S001,Main Road,4,13,10390,33.33,73.06,26.94,0,0.0,0,14,76.54
S001,Main Road,5,13,10390,57.62,68.98,31.02,0,0.0,0,15,73.06
S001,Main Road,6,13,10390,90.98,64.58,35.42,0,0.0,0,16,68.98
S001,Main Road,7,13,10390,205.53,59.1,40.9,0,0.0,0,17,64.58
S001,Main Road,8,13,10390,190.39,53.26,46.74,0,0.0,0,18,59.1
S001,Main Road,9,13,10390,145.02,48.23,51.77,0,0.0,0,19,53.26
S001,Main Road,10,13,10390,75.07,43.27,56.73,0,0.0,0,20,48.23
S001,Main Road,11,13,10390,41.65,74.66,25.34,1,0.9,1,0,43.27
S001,Main Road,12,13,10390,21.46,70.85,29.15,0,0.0,1,1,74.66
S001,Main Road,13,13,10390,27.22,66.91,33.09,0,0.0,1,2,70.85
S001,Main Road,14,13,10390,23.87,63.4,36.6,0,0.0,1,3,66.91
S001,Main Road,15,13,10390,20.37,59.85,40.15,0,0.0,1,4,63.4
S001,Main Road,16,13,10390,34.69,55.68,44.32,0,0.0,1,5,59.85
S001,Main Road,17,13,10390,28.26,51.59,48.41,0,0.0,1,6,55.68
S001,Main Road,18,13,10390,101.56,46.97,53.03,0,0.0,1,7,51.59
S001,Main Road,19,13,10390,173.18,40.8,59.2,0,0.0,1,8,46.97
S001,Main Road,20,13,10390,130.05,66.96,33.04,1,0.75,1,0,40.8
S001,Main Road,21,13,10390,102.74,62.37,37.63,0,0.0,1,1,66.96
S001,Main Road,22,13,10390,66.27,57.57,42.43,0,0.0,1,2,62.37
S001,Main Road,23,13,10390,41.11,53.34,46.66,0,0.0,1,3,57.57
S001,Main Road,24,13,10390,25.05,48.87,51.13,0,0.0,1,4,53.34
S001,Main Road,25,13,10390,26.0,44.44,55.56,0,0.0,2,5,48.87
S001,Main Road,26,13,10390,17.0,75.13,24.87,1,0.88,2,0,44.44
S001,Main Road,27,13,10390,25.57,71.33,28.67,0,0.0,2,1,75.13
S001,Main Road,28,13,10390,38.48,67.46,32.54,0,0.0,2,2,71.33
S001,Main Road,29,13,10390,68.08,63.52,36.48,0,0.0,2,3,67.46
S001,Main Road,30,13,10390,97.72,59.03,40.97,0,0.0,2,4,63.52
S001,Main Road,31,13,10390,237.59,53.05,46.95,0,0.0,2,5,59.03
S001,Main Road,32,13,10390,113.15,47.83,52.17,0,0.0,2,6,53.05
S001,Main Road,33,13,10390,107.5,42.62,57.38,0,0.0,2,7,47.83
S001,Main Road,34,13,10390,70.74,65.6,34.4,1,0.66,2,0,42.62
S001,Main Road,35,13,10390,36.48,61.8,38.2,0,0.0,2,1,65.6
S001,Main Road,36,13,10390,21.89,57.62,42.38,0,0.0,2,2,61.8
S002,Main Road,1,7,11265,22.05,85.37,14.63,0,0.0,0,6,88.5
S002,Main Road,2,7,11265,24.25,82.43,17.57,0,0.0,0,7,85.37
S002,Main Road,3,7,11265,26.79,78.79,21.21,0,0.0,0,8,82.43
S002,Main Road,4,7,11265,31.36,75.18,24.82,0,0.0,0,9,78.79
S002,Main Road,5,7,11265,62.42,71.06,28.94,0,0.0,0,10,75.18
S002,Main Road,6,7,11265,125.53,66.26,33.74,0,0.0,0,11,71.06
S002,Main Road,7,7,11265,201.95,60.84,39.16,0,0.0,0,12,66.26
S002,Main Road,8,7,11265,175.11,55.31,44.69,0,0.0,0,13,60.84
S002,Main Road,9,7,11265,119.1,50.91,49.09,0,0.0,0,14,55.31
S002,Main Road,10,7,11265,58.08,46.94,53.06,0,0.0,0,15,50.91
S002,Main Road,11,7,11265,25.61,43.34,56.66,0,0.0,0,16,46.94
S002,Main Road,12,7,11265,18.9,39.5,60.5,0,0.0,0,17,43.34
S002,Main Road,13,7,11265,32.76,35.5,64.5,0,0.0,0,18,39.5
S002,Main Road,14,7,11265,17.8,60.6,39.4,1,0.72,0,0,35.5
S002,Main Road,15,7,11265,25.06,57.2,42.8,0,0.0,0,1,60.6
S002,Main Road,16,7,11265,39.89,53.05,46.95,0,0.0,0,2,57.2
S002,Main Road,17,7,11265,53.03,49.27,50.73,0,0.0,1,3,53.05
S002,Main Road,18,7,11265,135.37,43.86,56.14,0,0.0,1,4,49.27
S002,Main Road,19,7,11265,172.68,61.44,38.56,1,0.5,1,0,43.86
S002,Main Road,20,7,11265,145.29,56.32,43.68,0,0.0,1,1,61.44
S002,Main Road,21,7,11265,141.55,51.21,48.79,0,0.0,1,2,56.32
S002,Main Road,22,7,11265,75.39,46.65,53.35,0,0.0,1,3,51.21
S002,Main Road,23,7,11265,25.59,42.46,57.54,0,0.0,1,4,46.65
S002,Main Road,24,7,11265,22.77,38.77,61.23,0,0.0,1,5,42.46
S002,Main Road,25,7,11265,31.02,34.89,65.11,0,0.0,1,6,38.77
S002,Main Road,26,7,11265,14.02,53.28,46.72,1,0.53,1,0,34.89
S002,Main Road,27,7,11265,21.5,49.64,50.36,0,0.0,1,1,53.28
S002,Main Road,28,7,11265,34.95,45.77,54.23,0,0.0,1,2,49.64
S002,Main Road,29,7,11265,52.45,41.33,58.67,0,0.0,1,3,45.77
S002,Main Road,30,7,11265,134.47,36.05,63.95,0,0.0,1,4,41.33
S002,Main Road,31,7,11265,196.57,63.53,36.47,1,0.79,1,0,36.05
S002,Main Road,32,7,11265,192.59,58.02,41.98,0,0.0,1,1,63.53
S002,Main Road,33,7,11265,102.85,53.45,46.55,0,0.0,1,2,58.02
S002,Main Road,34,7,11265,66.99,48.99,51.01,0,0.0,1,3,53.45
